tipo,threads,tempo_seq,tempo_conc,aceleracao,eficiencia
total,0,0.044116686,0.025379767,1.738262076,0
facil,0,0.038217076,0.020799150,1.837434472,0
medio,0,0.037414210,0.024236779,1.543695634,0
dificil,0,0.056603636,0.031062417,1.822254709,0
threads,1,0.039813734,0.039715466,1.002474305,100.247430537
threads,2,0.022152971,0.014269191,1.552503644,77.625182213
threads,3,0.028850758,0.016372775,1.762117825,58.737260827
threads,4,0.046022040,0.024464878,1.881147363,47.028684086
threads,5,0.059081974,0.032031929,1.844471271,36.889425423
threads,6,0.097264563,0.066976201,1.452225728,24.203762132
threads,7,0.044061661,0.036440702,1.209133159,17.273330839
