tipo,threads,tempo_seq,tempo_conc,aceleracao,eficiencia
total,0,0.044116686,0.028703280,1.536991117,0
facil,0,0.038217076,0.022929882,1.666693094,0
medio,0,0.037414210,0.026957975,1.387871651,0
dificil,0,0.056603636,0.036166730,1.565074771,0
threads,1,0.039813734,0.039996232,0.995437118,99.543711849
threads,2,0.022152971,0.015270679,1.450686725,72.534336225
threads,3,0.028850758,0.018234476,1.582209354,52.740311797
threads,4,0.046022040,0.028053363,1.640517727,41.012943182
threads,5,0.059081974,0.035533876,1.662694296,33.253885927
threads,6,0.097264563,0.079900882,1.217315255,20.288587584
threads,7,0.044061661,0.044391189,0.992576713,14.179667329
